index,parent,subba,time,start,end,start_act,end_act,start_match,end_match,n_obs,na,type,update,success,comments
4,CISO,PGAE,2024-08-07 00:57:47.336348+00:00,2024-08-05 08:00:00,2024-08-06 07:00:00,2024-08-05 08:00:00,2024-08-06 07:00:00,True,True,24.0,0.0,refresh,True,True,
4,CISO,SCE,2024-08-07 00:57:48.371515+00:00,2024-08-05 08:00:00,2024-08-06 07:00:00,2024-08-05 08:00:00,2024-08-06 07:00:00,True,True,24.0,0.0,refresh,True,True,
4,CISO,SDGE,2024-08-07 00:57:49.535165+00:00,2024-08-05 08:00:00,2024-08-06 07:00:00,2024-08-05 08:00:00,2024-08-06 07:00:00,True,True,24.0,0.0,refresh,True,True,
4,CISO,VEA,2024-08-07 00:57:50.756823+00:00,2024-08-05 08:00:00,2024-08-06 07:00:00,2024-08-05 08:00:00,2024-08-06 07:00:00,True,True,24.0,0.0,refresh,True,True,
5,CISO,PGAE,2024-08-07 12:24:35.455177+00:00,2024-08-06 08:00:00,2024-08-06 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
5,CISO,SCE,2024-08-07 12:24:35.456236+00:00,2024-08-06 08:00:00,2024-08-06 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
5,CISO,SDGE,2024-08-07 12:24:35.457793+00:00,2024-08-06 08:00:00,2024-08-06 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
5,CISO,VEA,2024-08-07 12:24:35.459391+00:00,2024-08-06 08:00:00,2024-08-06 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
6,CISO,PGAE,2024-08-08 00:57:37.122534+00:00,2024-08-06 08:00:00,2024-08-07 07:00:00,2024-08-06 08:00:00,2024-08-07 07:00:00,True,True,24.0,0.0,refresh,True,True,
6,CISO,SCE,2024-08-08 00:57:38.318621+00:00,2024-08-06 08:00:00,2024-08-07 07:00:00,2024-08-06 08:00:00,2024-08-07 07:00:00,True,True,24.0,0.0,refresh,True,True,
6,CISO,SDGE,2024-08-08 00:57:39.536746+00:00,2024-08-06 08:00:00,2024-08-07 07:00:00,2024-08-06 08:00:00,2024-08-07 07:00:00,True,True,24.0,0.0,refresh,True,True,
6,CISO,VEA,2024-08-08 00:57:40.704806+00:00,2024-08-06 08:00:00,2024-08-07 07:00:00,2024-08-06 08:00:00,2024-08-07 07:00:00,True,True,24.0,0.0,refresh,True,True,
7,CISO,PGAE,2024-08-08 12:23:48.177506+00:00,2024-08-07 08:00:00,2024-08-07 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
7,CISO,SCE,2024-08-08 12:23:48.178487+00:00,2024-08-07 08:00:00,2024-08-07 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
7,CISO,SDGE,2024-08-08 12:23:48.180026+00:00,2024-08-07 08:00:00,2024-08-07 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
7,CISO,VEA,2024-08-08 12:23:48.181479+00:00,2024-08-07 08:00:00,2024-08-07 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
8,CISO,PGAE,2024-08-09 00:58:16.757304+00:00,2024-08-07 08:00:00,2024-08-08 07:00:00,2024-08-07 08:00:00,2024-08-08 07:00:00,True,True,24.0,0.0,refresh,True,True,
8,CISO,SCE,2024-08-09 00:58:18.191666+00:00,2024-08-07 08:00:00,2024-08-08 07:00:00,2024-08-07 08:00:00,2024-08-08 07:00:00,True,True,24.0,0.0,refresh,True,True,
8,CISO,SDGE,2024-08-09 00:58:19.377394+00:00,2024-08-07 08:00:00,2024-08-08 07:00:00,2024-08-07 08:00:00,2024-08-08 07:00:00,True,True,24.0,0.0,refresh,True,True,
8,CISO,VEA,2024-08-09 00:58:20.563464+00:00,2024-08-07 08:00:00,2024-08-08 07:00:00,2024-08-07 08:00:00,2024-08-08 07:00:00,True,True,24.0,0.0,refresh,True,True,
9,CISO,PGAE,2024-08-09 12:24:06.411303+00:00,2024-08-08 08:00:00,2024-08-08 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
9,CISO,SCE,2024-08-09 12:24:06.412312+00:00,2024-08-08 08:00:00,2024-08-08 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
9,CISO,SDGE,2024-08-09 12:24:06.413874+00:00,2024-08-08 08:00:00,2024-08-08 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
9,CISO,VEA,2024-08-09 12:24:06.415275+00:00,2024-08-08 08:00:00,2024-08-08 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
10,CISO,PGAE,2024-08-10 00:57:47.338233+00:00,2024-08-08 08:00:00,2024-08-09 07:00:00,2024-08-08 08:00:00,2024-08-09 07:00:00,True,True,24.0,0.0,refresh,True,True,
10,CISO,SCE,2024-08-10 00:57:49.410279+00:00,2024-08-08 08:00:00,2024-08-09 07:00:00,2024-08-08 08:00:00,2024-08-09 07:00:00,True,True,24.0,0.0,refresh,True,True,
10,CISO,SDGE,2024-08-10 00:57:51.488889+00:00,2024-08-08 08:00:00,2024-08-09 07:00:00,2024-08-08 08:00:00,2024-08-09 07:00:00,True,True,24.0,0.0,refresh,True,True,
10,CISO,VEA,2024-08-10 00:57:53.527262+00:00,2024-08-08 08:00:00,2024-08-09 07:00:00,2024-08-08 08:00:00,2024-08-09 07:00:00,True,True,24.0,0.0,refresh,True,True,
11,CISO,PGAE,2024-08-10 12:22:29.086336+00:00,2024-08-09 08:00:00,2024-08-10 07:00:00,2024-08-09 08:00:00,2024-08-10 07:00:00,True,True,24.0,0.0,refresh,True,True,
11,CISO,SCE,2024-08-10 12:22:31.316608+00:00,2024-08-09 08:00:00,2024-08-10 07:00:00,2024-08-09 08:00:00,2024-08-10 07:00:00,True,True,24.0,0.0,refresh,True,True,
11,CISO,SDGE,2024-08-10 12:22:33.435881+00:00,2024-08-09 08:00:00,2024-08-10 07:00:00,2024-08-09 08:00:00,2024-08-10 07:00:00,True,True,24.0,0.0,refresh,True,True,
11,CISO,VEA,2024-08-10 12:22:35.569129+00:00,2024-08-09 08:00:00,2024-08-10 07:00:00,2024-08-09 08:00:00,2024-08-10 07:00:00,True,True,24.0,0.0,refresh,True,True,
12,CISO,PGAE,2024-08-11 01:02:06.371394+00:00,2024-08-10 08:00:00,2024-08-10 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
12,CISO,SCE,2024-08-11 01:02:06.372445+00:00,2024-08-10 08:00:00,2024-08-10 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
12,CISO,SDGE,2024-08-11 01:02:06.373981+00:00,2024-08-10 08:00:00,2024-08-10 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
12,CISO,VEA,2024-08-11 01:02:06.375547+00:00,2024-08-10 08:00:00,2024-08-10 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
13,CISO,PGAE,2024-08-11 12:22:12.686990+00:00,2024-08-10 08:00:00,2024-08-11 07:00:00,2024-08-10 08:00:00,2024-08-11 07:00:00,True,True,24.0,0.0,refresh,True,True,
13,CISO,SCE,2024-08-11 12:22:15.086772+00:00,2024-08-10 08:00:00,2024-08-11 07:00:00,2024-08-10 08:00:00,2024-08-11 07:00:00,True,True,24.0,0.0,refresh,True,True,
13,CISO,SDGE,2024-08-11 12:22:17.201225+00:00,2024-08-10 08:00:00,2024-08-11 07:00:00,2024-08-10 08:00:00,2024-08-11 07:00:00,True,True,24.0,0.0,refresh,True,True,
13,CISO,VEA,2024-08-11 12:22:19.352638+00:00,2024-08-10 08:00:00,2024-08-11 07:00:00,2024-08-10 08:00:00,2024-08-11 07:00:00,True,True,24.0,0.0,refresh,True,True,
14,CISO,PGAE,2024-08-12 00:59:16.426257+00:00,2024-08-11 08:00:00,2024-08-11 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
14,CISO,SCE,2024-08-12 00:59:16.427415+00:00,2024-08-11 08:00:00,2024-08-11 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
14,CISO,SDGE,2024-08-12 00:59:16.428927+00:00,2024-08-11 08:00:00,2024-08-11 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
14,CISO,VEA,2024-08-12 00:59:16.430438+00:00,2024-08-11 08:00:00,2024-08-11 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
